//====================================================================================================================================================
//祝福大天使武器额外付费功能设置(价格2000)	-	请按照格式设置,不懂请不要设置(有疑问请自行设置测试,多设置测试几次就会明白)
//
//此文档一份是放在各个data\item\文件夹内供GS读取,一份加密转为.Z格式文件放入客户端根目录供客户端读取显示功能
//
//[客户端使用方式]把此文件拉入MuEdit文件夹内的 [Z和TXT格式拖拉互相转换器.exe] 上面加密转换为.Z格式文件,然后更新到客户端/data/Custom/文件夹内即可
//====================================================================================================================================================
//1=蓝色	2=红色		3=金色		4=绿色	
//5=红底白字	6=粉红色	7=白底蓝字	8=土黄色底白字
//9=浅蓝底绿字	10=灰色		11=紫色		12=紫色
//13=棕色	14=紫色
//============================================================================================================================================================
//	属性颜色	属性标题颜色	属性标题文字
//============================================================================================================================================================
0
	12		3		"物品属性信息"
end

//============================================================================================================================================================
//	编号	功能描述(用于客户端显示)
//============================================================================================================================================================
1
	1	"攻击力增加 +%d%%"	//增加总攻击力的百分比
	2	"攻击力增加 +%d"	//增加具体数值的攻击力
	3	"最大生命力 +%d%%"	//增加总血量的百分比
	4	"最大生命力 +%d"	//增加具体数值的血量
	5	"增加连击伤害 +%d%%"	//增加连击伤害的百分比
	6	"幸运一击概率 +%d%%"	//增加幸运一击的百分比
	7	"卓越一击概率 +%d%%"	//增加卓越一击的百分比
	8	"无视防御概率 +%d%%"	//增加无视防御的百分比
	9	"双倍伤害概率 +%d%%"	//增加双倍攻击的百分比
	10	"增加怪物伤害 +%d%%"	//增加对怪物的伤害的百分比
	11	"增加PVP伤害 +%d%%"	//增加PVP伤害的百分比
	12	"击晕敌人概率 +%d%%"	//击晕敌人3秒概率的百分比
	13	"暴气连击概率 +%d%%"	//增加直接打出连击的伤害的百分比
	14	"冰冻敌人5秒概率 +%d%%"	//增加冰冻敌人5秒的百分比

end

//============================================================================================================================================================	
//可以赋予武器额外的属性的物品编号
//注意:02W不支持蓝眼装备以及之后的道具
//
//0,51	51	0x0033		祝福大天使之剑
//0,57	57	0x0039		神圣天使之剑
//0,58	58	0x003A		神圣天使魔剑
//0,59	59	0x003B		神圣天使拳刃
//0,61	61	0x003D		祝福大天使拳刃
//0,62	62	0x003E		灵魂之剑
//0,63	63	0x003F		灵魂魔剑
//0,64	64	0x0040		灵魂拳刃
//0,76	76	0x004C		大天使短剑
//0,77	77	0x004D		祝福大天使短剑
//0,78	78	0x004E		蓝眼之剑
//0,79	79	0x004F		蓝眼魔剑
//0,80	80	0x0050		蓝眼拳刃
//0,81	81	0x0051		银心之剑
//0,82	82	0x0052		银心魔剑
//0,83	83	0x0053		银心拳刃
//0,150	150	0x0096		祝福大天使之剑(精炼)
//0,151	151	0x0097		祝福大天使之剑(传说)
//0,152	152	0x0098		祝福大天使之剑(神话)
//0,153	153	0x0099		祝福大天使拳刃(精炼)
//0,154	154	0x009A		祝福大天使拳刃(传说)
//0,155	155	0x009B		祝福大天使拳刃(神话)
//0,156	156	0x009C		灵魂之剑(精炼)
//0,157	157	0x009D		灵魂之剑(传说)
//0,158	158	0x009E		灵魂之剑(神话)
//0,159	159	0x009F		灵魂魔剑(精炼)
//0,160	160	0x00A0		灵魂魔剑(传说)
//0,161	161	0x00A1		灵魂魔剑(神话)
//0,162	162	0x00A2		灵魂拳刃(精炼)
//0,163	163	0x00A3		灵魂拳刃(传说)
//0,164	164	0x00A4		灵魂拳刃(神话)
//0,165	165	0x00A5		神圣天使之剑(精炼)
//0,166	166	0x00A6		神圣天使之剑(传说))
//0,167	167	0x00A7		神圣天使之剑(神话)
//0,168	168	0x00A8		神圣天使魔剑(精炼)
//0,169	169	0x00A9		神圣天使魔剑(传说))
//0,170	170	0x00AA		神圣天使魔剑(神话)
//0,171	171	0x00AB		神圣天使拳刃(精炼)
//0,172	172	0x00AC		神圣天使拳刃(传说))
//0,173	173	0x00AD		神圣天使拳刃(神话)
//0,174	174	0x00AE		蓝眼之剑(精炼)
//0,175	175	0x00AF		蓝眼之剑(传说)
//0,176	176	0x00B0		蓝眼之剑(神话)
//0,177	177	0x00B1		蓝眼魔剑(精炼)
//0,178	178	0x00B2		蓝眼魔剑(传说)
//0,179	179	0x00B3		蓝眼魔剑(神话)
//0,180	180	0x00B4		蓝眼拳刃(精炼)
//0,181	181	0x00B5		蓝眼拳刃(传说)
//0,182	182	0x00B6		蓝眼拳刃(神话)
